Objecttype;Clustercode;Dakpartner;Betrokken Projectleider Techniek Daken;Jaar laatste dakonderhoud;Dakveiligheidsvoorzieningen aangebracht?;Bliksembeveiliging;Antenneopstelplaats
Building;37101;Oranjedak;Jack Robbemond;;;;
Building;41000;Oranjedak;Jack Robbemond;;Ja;;
Building;41001;Oranjedak;Jack Robbemond;;;Ja;
Building;41002;Oranjedak;Jack Robbemond;;;;
Building;41003;Oranjedak;Jack Robbemond;;;;
Building;41004;Oranjedak;Jack Robbemond;;;;
Building;41005;Oranjedak;Jack Robbemond;;;;
Building;41006;Oranjedak;Jack Robbemond;;;;
Building;41007;Oranjedak;Jack Robbemond;;Ja;;
Building;41008;Oranjedak;Jack Robbemond;;;;
Building;41009;Oranjedak;Jack Robbemond;;;;
Building;41010;Oranjedak;Jack Robbemond;;;;
Building;41011;Oranjedak;Jack Robbemond;;;;
Building;41012;Oranjedak;Jack Robbemond;;;;
Building;41013;Oranjedak;Jack Robbemond;;;;
Building;41020;Oranjedak;Jack Robbemond;;;;
Building;41021;Oranjedak;Jack Robbemond;;Nee;;
Building;41022;Oranjedak;Jack Robbemond;;Ja;;
Building;41023;Oranjedak;Jack Robbemond;;Nee;;
Building;41024;Oranjedak;Jack Robbemond;;Ja;Ja;
Building;41025;Oranjedak;Jack Robbemond;;;;
Building;41026;Oranjedak;Jack Robbemond;;Nee;;
Building;41027;Oranjedak;Jack Robbemond;;;;
Building;41028;Oranjedak;Jack Robbemond;;;;
Building;41029;Oranjedak;Jack Robbemond;;Nee;;
Building;41030;Oranjedak;Jack Robbemond;;Ja;;
Building;41032;Oranjedak;Jack Robbemond;;Nee;;
Building;41033;Oranjedak;Jack Robbemond;;Ja;;
Building;41034;Oranjedak;Jack Robbemond;;;;
Building;41035;Oranjedak;Jack Robbemond;;Ja;;
Building;41036;Oranjedak;Jack Robbemond;;;;
Building;41037;Oranjedak;Jack Robbemond;;;;
Building;41039;Oranjedak;Jack Robbemond;;;;
Building;41040;Oranjedak;Jack Robbemond;;;Ja;
Building;41041;Oranjedak;Jack Robbemond;;Ja;;
Building;41042;Oranjedak;Jack Robbemond;;Ja;;
Building;41043;Oranjedak;Jack Robbemond;;;;
Building;41044;Oranjedak;Jack Robbemond;;Ja;;
Building;41045;Oranjedak;Jack Robbemond;;;;
Building;41046;Oranjedak;Jack Robbemond;;Ja;;
Building;41047;Oranjedak;Jack Robbemond;;Nee;;
Building;41048;Oranjedak;Jack Robbemond;;;;
Building;41049;Oranjedak;Jack Robbemond;;Ja;;
Building;41050;Oranjedak;Jack Robbemond;;;;
Building;41052;Oranjedak;Jack Robbemond;;;;
Building;41053;Oranjedak;Jack Robbemond;;Nee;;
Building;41054;Oranjedak;Jack Robbemond;;Nee;;
Building;41055;Oranjedak;Jack Robbemond;;;;
Building;41056;Oranjedak;Jack Robbemond;;Ja;;
Building;41057;Oranjedak;Jack Robbemond;;;;
Building;41058;Oranjedak;Jack Robbemond;;Ja;;
Building;41060;Oranjedak;Jack Robbemond;;;;
Building;41061;Oranjedak;Jack Robbemond;;;;
Building;41062;Oranjedak;Jack Robbemond;;;;
Building;41063;Oranjedak;Jack Robbemond;;;;
Building;41064;Oranjedak;Jack Robbemond;;;;
Building;41065;Oranjedak;Jack Robbemond;;;;
Building;41066;Oranjedak;Jack Robbemond;;;;
Building;41067;Oranjedak;Jack Robbemond;;Ja;;
Building;41068;Oranjedak;Jack Robbemond;;Ja;;
Building;41070;Oranjedak;Jack Robbemond;;Ja;;
Building;41071;Oranjedak;Jack Robbemond;;Nee;;
Building;41072;Oranjedak;Jack Robbemond;;;;
Building;41073;Oranjedak;Jack Robbemond;;;;
Building;41074;Oranjedak;Jack Robbemond;;Nee;;
Building;41075;Oranjedak;Jack Robbemond;;Nee;;
Building;41076;Oranjedak;Jack Robbemond;;Nee;;
Building;41077;Oranjedak;Jack Robbemond;;Nee;;
Building;41078;Oranjedak;Jack Robbemond;;;;
Building;41079;Oranjedak;Jack Robbemond;;;;
Building;41080;Oranjedak;Jack Robbemond;;;;
Building;41081;Oranjedak;Jack Robbemond;;;;
Building;41082;Oranjedak;Jack Robbemond;;;Ja;T-Mobile
Building;41083;Oranjedak;Jack Robbemond;;Nee;;
Building;41100;Oranjedak;Jack Robbemond;;;;
Building;41102;Oranjedak;Jack Robbemond;;;;
Building;41103;Oranjedak;Jack Robbemond;;;;
Building;41120;Oranjedak;Jack Robbemond;;;;
Building;41121;Oranjedak;Jack Robbemond;;;;
Building;41122;Oranjedak;Jack Robbemond;;;;
Building;41123;Oranjedak;Jack Robbemond;;;;
Building;41124;Oranjedak;Jack Robbemond;;;;
Building;41125;Oranjedak;Jack Robbemond;;;;
Building;41126;Oranjedak;Jack Robbemond;;Ja;;
Building;41128;Oranjedak;Jack Robbemond;;;;
Building;41130;Oranjedak;Jack Robbemond;;;;
Building;41139;Oranjedak;Jack Robbemond;;;;
Building;41140;Oranjedak;Jack Robbemond;;Nee;;
Building;41141;Oranjedak;Jack Robbemond;;;;
Building;41142;Oranjedak;Jack Robbemond;;Nee;;
Building;41143;Oranjedak;Jack Robbemond;;Nee;;
Building;41144;Oranjedak;Jack Robbemond;;Nee;;
Building;41145;Oranjedak;Jack Robbemond;;;;
Building;41147;Oranjedak;Jack Robbemond;;;;
Building;41149;Oranjedak;Jack Robbemond;;;;
Building;41150;Oranjedak;Jack Robbemond;;Nee;;
Building;41151;Oranjedak;Jack Robbemond;;;;
Building;41153;Oranjedak;Jack Robbemond;;;;
Building;41154;Oranjedak;Jack Robbemond;;;;
Building;41155;Oranjedak;Jack Robbemond;;;;
Building;41160;Oranjedak;Jack Robbemond;;;;
Building;41161;Oranjedak;Jack Robbemond;;;;
Building;41162;Oranjedak;Jack Robbemond;;;;
Building;41163;Oranjedak;Jack Robbemond;;;;
Building;41164;Oranjedak;Jack Robbemond;;Ja;;
Building;41165;Oranjedak;Jack Robbemond;;Nee;;
Building;41166;Oranjedak;Jack Robbemond;;;;
Building;41167;Oranjedak;Jack Robbemond;;Nee;;
Building;41168;Oranjedak;Jack Robbemond;;Ja;;
Building;41169;Oranjedak;Jack Robbemond;;;;
Building;41170;Oranjedak;Jack Robbemond;;;;
Building;41171;Oranjedak;Jack Robbemond;;;;
Building;41173;Oranjedak;Jack Robbemond;;Nee;;
Building;41174;Oranjedak;Jack Robbemond;;Ja;;
Building;41175;Oranjedak;Jack Robbemond;;Ja;;
Building;41176;Oranjedak;Jack Robbemond;;;;
Building;41192;Oranjedak;Jack Robbemond;;;;
Building;41193;Oranjedak;Jack Robbemond;;;;
Building;41197;Oranjedak;Jack Robbemond;;;;
Building;41198;Oranjedak;Jack Robbemond;;;;
Building;42002;Oranjedak;Jack Robbemond;;;;
Building;42003;Oranjedak;Jack Robbemond;;Ja;;
Building;42004;Oranjedak;Jack Robbemond;;;;
Building;42005;Oranjedak;Jack Robbemond;;Nee;;
Building;42006;Oranjedak;Jack Robbemond;;;;
Building;42007;Oranjedak;Jack Robbemond;;;;
Building;42008;Oranjedak;Jack Robbemond;;Ja;;
Building;42009;Oranjedak;Jack Robbemond;;;;
Building;42010;Oranjedak;Jack Robbemond;;;;
Building;42013;Oranjedak;Jack Robbemond;;;Ja;
Building;42014;Oranjedak;Jack Robbemond;;Ja;;
Building;42017;Oranjedak;Jack Robbemond;;;;
Building;42019;Oranjedak;Jack Robbemond;;;;
Building;42020;Oranjedak;Jack Robbemond;;;;
Building;42021;Oranjedak;Jack Robbemond;;;;
Building;42022;Oranjedak;Jack Robbemond;;;;
Building;42023;Oranjedak;Jack Robbemond;;;;
Building;42024;Oranjedak;Jack Robbemond;;;;
Building;42025;Oranjedak;Jack Robbemond;;;;
Building;42026;Oranjedak;Jack Robbemond;;;;
Building;42027;Oranjedak;Jack Robbemond;;;;
Building;42028;Oranjedak;Jack Robbemond;;;;
Building;42029;Oranjedak;Jack Robbemond;;;;
Building;42030;Oranjedak;Jack Robbemond;;;;
Building;42031;Oranjedak;Jack Robbemond;;;;
Building;42032;Oranjedak;Jack Robbemond;;;;
Building;42033;Oranjedak;Jack Robbemond;;;;
Building;42034;Oranjedak;Jack Robbemond;;;;Vodafone
Building;42035;Oranjedak;Jack Robbemond;;;;
Building;42036;Oranjedak;Jack Robbemond;;;;
Building;42100;Oranjedak;Jack Robbemond;;Ja;;
Building;42101;Oranjedak;Jack Robbemond;;;;
Building;42102;Oranjedak;Jack Robbemond;;;;
Building;42111;Oranjedak;Jack Robbemond;;;;
Building;42112;Oranjedak;Jack Robbemond;;;;
Building;42116;Oranjedak;Jack Robbemond;;;;
Building;42192;Oranjedak;Jack Robbemond;;;;
Building;44000;Oranjedak;Jack Robbemond;;Ja;;
Building;44871;Oranjedak;Jack Robbemond;;Ja;;
Building;44872;Oranjedak;Jack Robbemond;;;;
Building;44873;Oranjedak;Jack Robbemond;;;;
Building;44874;Oranjedak;Jack Robbemond;;;;
Building;44875;Oranjedak;Jack Robbemond;;Ja;;
Building;44876;Oranjedak;Jack Robbemond;;;;T-Mobile
Building;44881;Oranjedak;Jack Robbemond;;Nee;Ja;
Building;44882;Oranjedak;Jack Robbemond;;;Ja;T-Mobile
Building;44883;Oranjedak;Jack Robbemond;;;Ja;
Building;44901;Oranjedak;Jack Robbemond;;;;
Building;44902;Oranjedak;Jack Robbemond;;;;
Building;44909;Oranjedak;Jack Robbemond;;;;
Building;44931;Oranjedak;Jack Robbemond;;Ja;Ja;
Building;44991;Oranjedak;Jack Robbemond;;;;
Building;45003;Oranjedak;Jack Robbemond;;Ja;;
Building;45004;Oranjedak;Jack Robbemond;;Ja;;
Building;45901;Oranjedak;Jack Robbemond;;;Ja;Zonnepanelen
Building;45902;Oranjedak;Jack Robbemond;;;Ja;
Building;45911;Oranjedak;Jack Robbemond;;;;
Building;45912;Oranjedak;Jack Robbemond;;;;
Building;45921;Oranjedak;Jack Robbemond;;;;
Building;45931;Oranjedak;Jack Robbemond;;Ja;;
Building;45932;Oranjedak;Jack Robbemond;;Ja;;
Building;45933;Oranjedak;Jack Robbemond;;Ja;;
Building;45934;Oranjedak;Jack Robbemond;;Ja;;KPN
Building;45935;Oranjedak;Jack Robbemond;;Ja;;
Building;45936;Oranjedak;Jack Robbemond;;Nee;;
Building;45941;Oranjedak;Jack Robbemond;;;;
Building;45951;Oranjedak;Jack Robbemond;;;;
Building;45961;Oranjedak;Jack Robbemond;;Ja;Ja;T-Mobile
Building;45962;Oranjedak;Jack Robbemond;;;;
Building;45971;Oranjedak;Jack Robbemond;;;;
Building;46511;Oranjedak;Jack Robbemond;;;;Zonnepanelen
Building;46521;Oranjedak;Jack Robbemond;;;;
Building;46531;Oranjedak;Jack Robbemond;;;;
Building;46541;Oranjedak;Jack Robbemond;;;;Zonnepanelen
Building;47001;Oranjedak;Jack Robbemond;;;;
Building;47002;Oranjedak;Jack Robbemond;;;;
Building;47003;Oranjedak;Jack Robbemond;;;;
Building;47004;Oranjedak;Jack Robbemond;;Ja;;
Building;47005;Oranjedak;Jack Robbemond;;Ja;;
Building;47006;Oranjedak;Jack Robbemond;;Ja;;
Building;47008;Oranjedak;Jack Robbemond;;;;
Building;47009;Oranjedak;Jack Robbemond;;;;
Building;47010;Oranjedak;Jack Robbemond;;;;
Building;47012;Oranjedak;Jack Robbemond;;Ja;;
Building;47015;Oranjedak;Jack Robbemond;;Nee;;
Building;47016;Oranjedak;Jack Robbemond;;;;
Building;47017;Oranjedak;Jack Robbemond;;;;
Building;47018;Oranjedak;Jack Robbemond;;Ja;;
Building;47019;Oranjedak;Jack Robbemond;;;;
Building;47020;Oranjedak;Jack Robbemond;;;;
Building;47021;Oranjedak;Jack Robbemond;;Ja;;
Building;47022;Oranjedak;Jack Robbemond;;;;
Building;47024;Oranjedak;Jack Robbemond;;;;
Building;47025;Oranjedak;Jack Robbemond;;;;
Building;47100;Oranjedak;Jack Robbemond;;;;
Building;47107;Oranjedak;Jack Robbemond;;;;
Building;48000;Oranjedak;Jack Robbemond;;;Ja;
Building;48001;Oranjedak;Jack Robbemond;;;;
Building;48361;Oranjedak;Jack Robbemond;;;;
Building;48411;Oranjedak;Jack Robbemond;;;;
Building;48420;Oranjedak;Jack Robbemond;;;;
Building;48421;Oranjedak;Jack Robbemond;;;Ja;
Building;48423;Oranjedak;Jack Robbemond;;;Ja;
Building;48424;Oranjedak;Jack Robbemond;;;Ja;
Building;48433;Oranjedak;Jack Robbemond;;;;
Building;48434;Oranjedak;Jack Robbemond;;;;
Building;48435;Oranjedak;Jack Robbemond;;;;
Building;48436;Oranjedak;Jack Robbemond;;;;
Building;48442;Oranjedak;Jack Robbemond;;;;
Building;48443;Oranjedak;Jack Robbemond;;;;
Building;48451;Oranjedak;Jack Robbemond;;;;
Building;48461;Oranjedak;Jack Robbemond;;;Ja;
Building;48462;Oranjedak;Jack Robbemond;;;Ja;
Building;48463;Oranjedak;Jack Robbemond;;;Ja;KPN/T-Mobile/Vodafone
Building;48464;Oranjedak;Jack Robbemond;;;Ja;
Building;48491;Oranjedak;Jack Robbemond;;Nee;;
Building;48941;Oranjedak;Jack Robbemond;;;;
Building;48942;Oranjedak;Jack Robbemond;;Ja;;
Building;48951;Oranjedak;Jack Robbemond;;;;
Building;48952;Oranjedak;Jack Robbemond;;;;
Building;48953;Oranjedak;Jack Robbemond;;;;
Building;48961;Oranjedak;Jack Robbemond;;;;
Building;48971;Oranjedak;Jack Robbemond;;;;
Building;48981;Oranjedak;Jack Robbemond;;;;
Building;49000;Oranjedak;Jack Robbemond;;;;
Building;49001;Oranjedak;Jack Robbemond;;;Ja;
Building;49361;Oranjedak;Jack Robbemond;;;;T-Mobile
Building;49371;Oranjedak;Jack Robbemond;;;;
Building;49381;Oranjedak;Jack Robbemond;;;;
Building;49391;Oranjedak;Jack Robbemond;;;;
Building;49401;Oranjedak;Jack Robbemond;;;;
Building;49431;Oranjedak;Jack Robbemond;;;;
Building;49432;Oranjedak;Jack Robbemond;;;;
Building;49441;Oranjedak;Jack Robbemond;;;;
Building;49451;Oranjedak;Jack Robbemond;;;;
Building;51001;Cazdak;Anton Jansen;;Nee;;
Building;51002;Cazdak;Anton Jansen;;;;
Building;51003;Cazdak;Anton Jansen;;;;
Building;51004;Cazdak;Anton Jansen;;;;
Building;51005;Cazdak;Anton Jansen;;Nee;;
Building;51006;Cazdak;Anton Jansen;;Nee;;
Building;51007;Cazdak;Anton Jansen;;Nee;;
Building;51008;Cazdak;Anton Jansen;;Ja;;
Building;51009;Cazdak;Anton Jansen;;Nee;;
Building;51010;Cazdak;Anton Jansen;;Nee;;
Building;51011;Cazdak;Anton Jansen;;;;
Building;51012;Cazdak;Anton Jansen;;;;
Building;51013;Cazdak;Anton Jansen;;;;
Building;51014;Cazdak;Anton Jansen;;;;
Building;51015;Cazdak;Anton Jansen;;;;Zonnepanelen
Building;51016;Cazdak;Anton Jansen;;Ja;;
Building;51019;Cazdak;Anton Jansen;;;;
Building;51020;Cazdak;Anton Jansen;;Ja;;
Building;51021;Cazdak;Anton Jansen;;;;
Building;51051;Cazdak;Anton Jansen;;Nee;;
Building;51052;Cazdak;Anton Jansen;;Nee;;
Building;51053;Cazdak;Anton Jansen;;Nee;;
Building;51054;Cazdak;Anton Jansen;;Nee;;
Building;51055;Cazdak;Anton Jansen;;Nee;;
Building;51058;Cazdak;Anton Jansen;;Nee;;
Building;51059;Cazdak;Anton Jansen;;Nee;;
Building;51060;Cazdak;Anton Jansen;;Nee;;
Building;51061;Cazdak;Anton Jansen;;Nee;;
Building;51062;Cazdak;Anton Jansen;;Ja;Ja;T-Mobile
Building;51063;Cazdak;Anton Jansen;;Ja;;
Building;51064;Cazdak;Anton Jansen;;Nee;;
Building;51065;Cazdak;Anton Jansen;;Nee;;
Building;51070;Cazdak;Anton Jansen;;Nee;;
Building;51071;Cazdak;Anton Jansen;;;;
Building;51072;Cazdak;Anton Jansen;;;;
Building;51117;Cazdak;Anton Jansen;;;;
Building;51125;Cazdak;Anton Jansen;;;;Zonnepanelen
Building;51126;Cazdak;Anton Jansen;;Nee;;
Building;51127;Cazdak;Anton Jansen;;;;
Building;51128;Cazdak;Anton Jansen;;;;
Building;51156;Cazdak;Anton Jansen;;;;
Building;51158;Cazdak;Anton Jansen;;;;
Building;51159;Cazdak;Anton Jansen;;;;
Building;51160;Cazdak;Anton Jansen;;;;
Building;55001;Cazdak;Anton Jansen;;Nee;;Zonnepanelen
Building;55002;Cazdak;Anton Jansen;;;;
Building;55103;Cazdak;Anton Jansen;;;;
Building;56051;Cazdak;Anton Jansen;;;;
Building;56052;Cazdak;Anton Jansen;;;;
Building;56053;Cazdak;Anton Jansen;;;;
Building;56055;Cazdak;Anton Jansen;;;;
Building;56056;Cazdak;Anton Jansen;;Ja;;
Building;56057;Cazdak;Anton Jansen;;Ja;;
Building;56058;Cazdak;Anton Jansen;;;;
Building;56101;Cazdak;Anton Jansen;;;;
Building;56102;Cazdak;Anton Jansen;;;;
Building;56154;Cazdak;Anton Jansen;;;;
Building;56159;Cazdak;Anton Jansen;;;;
Building;56160;Cazdak;Anton Jansen;;;;
Building;57001;Cazdak;Anton Jansen;;;;
Building;57002;Cazdak;Anton Jansen;;Nee;;
Building;60001;Oranjedak;Jack Robbemond;;Ja;;
Building;60116;Oranjedak;Jack Robbemond;;;;
Building;60120;Oranjedak;Jack Robbemond;;;;
Building;63001;Oranjedak;Jack Robbemond;;;Ja;
Building;63002;Oranjedak;Jack Robbemond;;;Ja;
Building;63003;Oranjedak;Jack Robbemond;;Ja;Ja;Vodafone
Building;63004;Oranjedak;Jack Robbemond;;Ja;Ja;
Building;63011;Oranjedak;Jack Robbemond;;;;
Building;63012;Oranjedak;Jack Robbemond;;Ja;Ja;
Building;63113;Oranjedak;Jack Robbemond;;Nee;;
Building;63114;Oranjedak;Jack Robbemond;;;;
Building;63601;Oranjedak;Jack Robbemond;;;;
Building;66000;Oranjedak;Jack Robbemond;;Ja;;
Building;66005;Oranjedak;Jack Robbemond;;Nee;;
Building;66006;Oranjedak;Jack Robbemond;;;;
Building;66007;Oranjedak;Jack Robbemond;;;;
Building;66008;Oranjedak;Jack Robbemond;;Nee;;
Building;66009;Oranjedak;Jack Robbemond;;;;
Building;66010;Oranjedak;Jack Robbemond;;Nee;;
Building;66050;Oranjedak;Jack Robbemond;;;;
Building;66055;Oranjedak;Jack Robbemond;;Nee;;
Building;66056;Oranjedak;Jack Robbemond;;;;
Building;66057;Oranjedak;Jack Robbemond;;;;
Building;66058;Oranjedak;Jack Robbemond;;Nee;;
Building;66059;Oranjedak;Jack Robbemond;;Nee;;
Building;66060;Oranjedak;Jack Robbemond;;Nee;;
Building;67711;Oranjedak;Jack Robbemond;;;;
Building;67712;Oranjedak;Jack Robbemond;;;;
Building;67731;Oranjedak;Jack Robbemond;;Ja;;
Building;67732;Oranjedak;Jack Robbemond;;Nee;;
Building;67733;Oranjedak;Jack Robbemond;;Ja;;
Building;67734;Oranjedak;Jack Robbemond;;Nee;;
Building;67735;Oranjedak;Jack Robbemond;;;;
Building;67761;Oranjedak;Jack Robbemond;;Nee;;
Building;67762;Oranjedak;Jack Robbemond;;Nee;;
Building;67763;Oranjedak;Jack Robbemond;;Nee;;
Building;67764;Oranjedak;Jack Robbemond;;Nee;;
Building;67765;Oranjedak;Jack Robbemond;;;;
Building;67766;Oranjedak;Jack Robbemond;;Nee;;
Building;67767;Oranjedak;Jack Robbemond;;;;
Building;67768;Oranjedak;Jack Robbemond;;;;
Building;67769;Oranjedak;Jack Robbemond;;;;
Building;67801;Oranjedak;Jack Robbemond;;;;
Building;67802;Oranjedak;Jack Robbemond;;;;
Building;67803;Oranjedak;Jack Robbemond;;;;
Building;67811;Oranjedak;Jack Robbemond;;;;
Building;67812;Oranjedak;Jack Robbemond;;;;
Building;67821;Oranjedak;Jack Robbemond;;;Ja;KPN/Vodafone
Building;67822;Oranjedak;Jack Robbemond;;;;
Building;67823;Oranjedak;Jack Robbemond;;;;
Building;67824;Oranjedak;Jack Robbemond;;;;
Building;67825;Oranjedak;Jack Robbemond;;;;
Building;67851;Oranjedak;Jack Robbemond;;;;
Building;67852;Oranjedak;Jack Robbemond;;;;
Building;67861;Oranjedak;Jack Robbemond;;Nee;Ja;KPN
Building;67891;Oranjedak;Jack Robbemond;;;;
Building;71001;Voormolen;Anton Jansen;;;;
Building;71019;Voormolen;Anton Jansen;;;;
Building;71021;Voormolen;Anton Jansen;;;;
Building;71031;Voormolen;Anton Jansen;;;;
Building;71041;Voormolen;Anton Jansen;;;;
Building;71059;Voormolen;Anton Jansen;;Ja;;
Building;71061;Voormolen;Anton Jansen;;Ja;;
Building;71089;Voormolen;Anton Jansen;;;;KPN
Building;71091;Voormolen;Anton Jansen;;Nee;;
Building;71101;Voormolen;Anton Jansen;;;;
Building;71111;Voormolen;Anton Jansen;;;;
Building;71121;Voormolen;Anton Jansen;;;;
Building;71131;Voormolen;Anton Jansen;;;;
Building;71141;Voormolen;Anton Jansen;;;;
Building;71142;Voormolen;Anton Jansen;;;;
Building;71201;Voormolen;Anton Jansen;;;;
Building;71211;Voormolen;Anton Jansen;;;;
Building;71231;Voormolen;Anton Jansen;;;;
Building;71232;Voormolen;Anton Jansen;;;;
Building;71241;Voormolen;Anton Jansen;;;;
Building;71242;Voormolen;Anton Jansen;;;;
Building;71243;Voormolen;Anton Jansen;;;;
Building;71251;Voormolen;Anton Jansen;;;;
Building;71261;Voormolen;Anton Jansen;;;;
Building;71262;Voormolen;Anton Jansen;;;;
Building;71263;Voormolen;Anton Jansen;;;;
Building;71271;Voormolen;Anton Jansen;;;;
Building;71272;Voormolen;Anton Jansen;;;;
Building;71273;Voormolen;Anton Jansen;;Ja;;
Building;71274;Voormolen;Anton Jansen;;;;
Building;71281;Voormolen;Anton Jansen;;Ja;;
Building;71282;Voormolen;Anton Jansen;;Nee;;
Building;71291;Voormolen;Anton Jansen;;Ja;;
Building;71301;Voormolen;Anton Jansen;;;;
Building;71302;Voormolen;Anton Jansen;;Nee;;
Building;71311;Voormolen;Anton Jansen;;Nee;;
Building;71312;Voormolen;Anton Jansen;;;;
Building;71321;Voormolen;Anton Jansen;;;;
Building;71322;Voormolen;Anton Jansen;;Ja;;
Building;71328;Voormolen;Anton Jansen;;;;
Building;71329;Voormolen;Anton Jansen;;;;
Building;71341;Voormolen;Anton Jansen;;Nee;;
Building;71351;Voormolen;Anton Jansen;;;;
Building;71361;Voormolen;Anton Jansen;;;;
Building;71362;Voormolen;Anton Jansen;;Nee;;
Building;71371;Voormolen;Anton Jansen;;Nee;;
Building;71381;Voormolen;Anton Jansen;;;;
Building;71391;Voormolen;Anton Jansen;;;;
Building;71401;Voormolen;Anton Jansen;;;;
Building;71411;Voormolen;Anton Jansen;;;;
Building;71421;Voormolen;Anton Jansen;;;;
Building;71422;Voormolen;Anton Jansen;;;;
Building;71423;Voormolen;Anton Jansen;;;;
Building;71424;Voormolen;Anton Jansen;;;;
Building;71425;Voormolen;Anton Jansen;;;;
Building;71431;Voormolen;Anton Jansen;;;;
Building;71441;Voormolen;Anton Jansen;;;;
Building;71443;Voormolen;Anton Jansen;;;;
Building;71444;Voormolen;Anton Jansen;;;;
Building;71449;Voormolen;Anton Jansen;;;;
Building;71451;Voormolen;Anton Jansen;;;;
Building;71460;Voormolen;Anton Jansen;;;;
Building;71461;Voormolen;Anton Jansen;;;;
Building;71462;Voormolen;Anton Jansen;;Ja;;
Building;71466;Voormolen;Anton Jansen;;;;
Building;71467;Voormolen;Anton Jansen;;;;
Building;71468;Voormolen;Anton Jansen;;;;
Building;71469;Voormolen;Anton Jansen;;;;
Building;71470;Voormolen;Anton Jansen;;;;
Building;71471;Voormolen;Anton Jansen;;;;
Building;71472;Voormolen;Anton Jansen;;;;
Building;71473;Voormolen;Anton Jansen;;;;
Building;71474;Voormolen;Anton Jansen;;;;
Building;71501;Voormolen;Anton Jansen;;;;
Building;71511;Voormolen;Anton Jansen;;;;
Building;71521;Voormolen;Anton Jansen;;;;
Building;71524;Voormolen;Anton Jansen;;;;
Building;71525;Voormolen;Anton Jansen;;;;
Building;71534;Voormolen;Anton Jansen;;;;
Building;71535;Voormolen;Anton Jansen;;;;
Building;71541;Voormolen;Anton Jansen;;;;
Building;71542;Voormolen;Anton Jansen;;;;
Building;71543;Voormolen;Anton Jansen;;;;
Building;71544;Voormolen;Anton Jansen;;;;
Building;71545;Voormolen;Anton Jansen;;;;
Building;71546;Voormolen;Anton Jansen;;;;
Building;71631;Voormolen;Anton Jansen;;;;
Building;71671;Voormolen;Anton Jansen;;;;
Building;71701;Voormolen;Anton Jansen;;;;
Building;71711;Voormolen;Anton Jansen;;;;
Building;71761;Voormolen;Anton Jansen;;;;
Building;71762;Voormolen;Anton Jansen;;;;
Building;71763;Voormolen;Anton Jansen;;;;
Building;71764;Voormolen;Anton Jansen;;;;
Building;71767;Voormolen;Anton Jansen;;;;
Building;71801;Voormolen;Anton Jansen;;;;
Building;71803;Voormolen;Anton Jansen;;;;
Building;71805;Voormolen;Anton Jansen;;;;
Building;71806;Voormolen;Anton Jansen;;;;
Building;71807;Voormolen;Anton Jansen;;;;
Building;71808;Voormolen;Anton Jansen;;;;
Building;71810;Voormolen;Anton Jansen;;;;
Building;71811;Voormolen;Anton Jansen;;;;
Building;71812;Voormolen;Anton Jansen;;;;
Building;71813;Voormolen;Anton Jansen;;;;
Building;71819;Voormolen;Anton Jansen;;;;
Building;71822;Voormolen;Anton Jansen;;;;
Building;71825;Voormolen;Anton Jansen;;;;
Building;71826;Voormolen;Anton Jansen;;;;
Building;71876;Voormolen;Anton Jansen;;;;
Building;71881;Voormolen;Anton Jansen;;;;
Building;71882;Voormolen;Anton Jansen;;;;
Building;71885;Voormolen;Anton Jansen;;;;
Building;71887;Voormolen;Anton Jansen;;;;
Building;71888;Voormolen;Anton Jansen;;;;
